iso3,Country,terrestrial_area_km2,valid_area_km2,coverage,baseline_dryness,p_bar_area_mean_mm_yr,e_bar_area_mean_mm_yr,pre_station_supported_share,pre_mean_station_count,pre_pure_climatology_share,n_cru_cells,n_valid_cru_cells,invalid_reasons
NLD,Netherlands,34324.00841544509,33724.4349814102,0.9825319517820333,0.08540957203065813,739.3259898706496,608.0021760517923,1.0,8.0,0.0,33,30,"{""non-finite month"": 599.573434}"
NOR,Norway,320144.7624475174,319017.4039105966,0.9964785975934696,0.33364592933939785,1014.932820921121,427.89095024948745,1.0,7.999600296156125,0.0,361,327,"{""non-finite month"": 1127.358537}"
POL,Poland,307428.6074259775,307346.4466607808,0.9997327484716384,-0.0168633521394114,616.4812276458799,635.9050805004744,1.0,7.998625097840354,0.0,188,186,"{""non-finite month"": 82.160765}"
PRT,Portugal,92423.01380582534,91865.28398625796,0.9939654659959571,-0.1361969463090637,814.2215237815681,1071.9151854919712,0.9998041103756251,7.817507128473813,0.0,75,58,"{""non-finite month"": 557.72982}"
ROU,Romania,235923.34154926546,235923.34154926546,1.0,-0.0868540711419185,634.3835206107258,764.7102283791342,1.0,7.999989600627031,0.0,130,130,{}
RUS,Russia,16653692.815023635,16639053.711419774,0.9991209695191055,-0.004005987699061687,447.3469700377527,451.7352516821395,0.9172689591301532,5.381072883828059,2.054786409219431e-05,12894,12502,"{""non-finite month"": 14639.103604}"
SRB,Serbia,79153.40496146055,79153.40496146055,1.0,-0.060714036139097774,745.193926752735,844.5441965189463,1.0,8.0,0.0,46,46,{}
SVK,Slovakia,49893.73736667935,49893.73736667935,1.0,0.04114980200147669,790.9264056889808,709.8466827586972,1.0,8.0,0.0,31,31,{}
SVN,Slovenia,22029.139026511366,22029.139026511366,1.0,0.3067931666120929,1435.288499235199,693.6095736237165,1.0,8.0,0.0,14,14,{}
ESP,Spain,503318.3413226153,502939.4846883741,0.9992472822801458,-0.2694517642709331,629.4293157703432,1106.5938070224279,0.99990718019668,7.917453967999053,0.0,287,270,"{""non-finite month"": 378.856634}"
SWE,Sweden,428160.6151889965,427763.83357274765,0.9990732879153921,0.10553142986825702,598.3486940829512,468.720615442448,1.0,8.0,0.0,386,366,"{""non-finite month"": 396.781616}"
CHE,Switzerland,38494.095721658705,38494.095721658705,1.0,0.272105748046081,1184.1525578602439,626.372106877328,1.0,8.0,0.0,25,25,{}
UKR,Ukraine,589296.2560292487,589143.452507864,0.9997407016932123,-0.16735689412167779,533.7674863398638,778.241787508837,1.0,7.968160997488415,0.0,344,338,"{""non-finite month"": 152.803521}"
