iso3,Country,terrestrial_area_km2,valid_area_km2,missing_area_km2,coverage,passes_0_98,n_support_cells,n_invalid_support_cells,missing_area_both_pre_and_pet_masked_km2,missing_area_pet_masked_pre_valid_km2,missing_area_pre_masked_pet_valid_km2,missing_area_temporal_partial_km2,missing_area_nonpositive_mean_km2,missing_area_masked_all_1500_months_km2,missing_cells_area_weighted_mean_151_country_land_fraction,missing_cells_max_151_country_land_fraction
NAM,Namibia,820093.3269202465,819855.2300749583,238.09684528815254,0.9997096710368534,True,315,5,134.71534499200004,103.38150029615252,0,0,0,238.09684528815254,0.020956119186136105,0.026971378479283936
NER,Niger,1187341.3996928008,1187341.3996928008,0.0,1.0,True,436,0,0.0,0.0,0,0,0,0.0,,
NGA,Nigeria,894660.4336191333,894521.8209522432,138.61266689017813,0.9998450667295865,True,332,2,61.248477029831314,77.36418986034683,0,0,0,138.61266689017813,0.0227967853837623,0.025114489630509333
RWA,Rwanda,24860.68554957597,24860.68554957597,0.0,1.0,True,13,0,0.0,0.0,0,0,0,0.0,,
SEN,Senegal,192440.60717483712,192349.25835145643,91.34882338067408,0.99952531420098,True,82,3,32.650501517978846,58.698321862695224,0,0,0,91.34882338067408,0.013385858056284478,0.016755961915769516
SLE,Sierra Leone,74510.3480222396,74439.45537861595,70.89264362364462,0.999048553046585,True,32,2,9.000762212249594,61.891881411395026,0,0,0,70.89264362364462,0.017975723234441725,0.020162515836314728
SOM,Somalia,633117.3597401825,632952.1534104182,165.20632976430696,0.9997390589166089,True,252,7,111.99133956392402,53.21499020038295,0,0,0,165.20632976430696,0.011335615749263233,0.01723552982995507
ZAF,South Africa,1220021.7881339747,1219852.7336805868,169.054453387971,0.9998614332505926,True,512,5,2.41922416473289,166.6352292232381,0,0,0,169.054453387971,0.016156208802334624,0.018452548049179646
SDN,Sudan,1862259.576883068,1862172.8786054887,86.6982775794479,0.999953444579555,True,660,5,86.6982775794479,0.0,0,0,0,86.6982775794479,0.01514828524568651,0.020432751125844327
SWZ,Swaziland,17279.721670219784,17279.721670219784,0.0,1.0,True,11,0,0.0,0.0,0,0,0,0.0,,
TZA,Tanzania,890809.8439538183,890539.5167863787,270.3271674396573,0.999696537741164,True,340,4,210.32171686779543,60.00545057186184,0,0,0,270.3271674396573,0.0482564990817993,0.06318051835140376
TGO,Togo,61396.61797970473,61396.61797970473,0.0,1.0,True,28,0,0.0,0.0,0,0,0,0.0,,
TUN,Tunisia,155502.67779252777,155391.5710511032,111.10674142456452,0.999285499497489,True,84,3,0.0,111.10674142456452,0,0,0,111.10674142456452,0.0194722184255457,0.022071036605059484
UGA,Uganda,205926.3482680487,205926.3482680487,0.0,1.0,True,87,0,0.0,0.0,0,0,0,0.0,,
ZMB,Zambia,741216.9132317905,741216.9132317905,0.0,1.0,True,275,0,0.0,0.0,0,0,0,0.0,,
ZWE,Zimbabwe,388795.5575149592,388795.5575149592,0.0,1.0,True,148,0,0.0,0.0,0,0,0,0.0,,
AFG,Afghanistan,642179.4188530908,642179.4188530908,0.0,1.0,True,276,0,0.0,0.0,0,0,0,0.0,,
ARM,Armenia,29225.768207239817,29225.768207239817,0.0,1.0,True,18,0,0.0,0.0,0,0,0,0.0,,
AZE,Azerbaijan,85759.91761451519,85712.52095198055,47.39666253463279,0.9994473331615397,True,54,2,47.39666253463279,0.0,0,0,0,47.39666253463279,0.010550688940142692,0.012380273125502864
BGD,Bangladesh,135738.43017362972,135597.77246060732,140.65771302241444,0.9989637591001864,True,69,2,103.63024152543488,37.027471496979544,0,0,0,140.65771302241444,0.029976762670273077,0.03609525058188522
MMR,Burma,667744.3362052138,665663.3055894625,2081.0306157513296,0.9968834919251015,True,299,27,1748.607370964401,332.42324478692854,0,0,0,2081.0306157513296,0.06513958679596495,0.12450367212505097
KHM,Cambodia,176115.28073262883,176070.52626563047,44.754466998350935,0.9997458797055419,True,73,4,44.754466998350935,0.0,0,0,0,44.754466998350935,0.00730970426653347,0.009923635248987928
CHN,China,9314818.081733596,9312961.740522854,1856.3412107423742,0.9998007109538315,True,4018,42,1360.566890320668,495.7743204217058,0,0,0,1856.3412107423742,0.04464577935477612,0.10237405852739076
GEO,Georgia,69286.78068560013,69279.1207481076,7.659937492534768,0.9998894459027143,True,42,1,0.0,7.659937492534768,0,0,0,7.659937492534768,0.003374649006114646,0.003374649006114646
IND,India,3158591.419039531,3156446.603623556,2144.815415975048,0.9993209582591004,True,1267,39,2012.7690031146647,132.04641286038296,0,0,0,2144.815415975048,0.058878620358611876,0.1305006158193711
IDN,Indonesia,1897440.3510512533,1880615.0984405393,16825.252610714015,0.9911326579508062,True,1214,299,15923.149421253569,902.1031894604533,0,0,0,16825.252610714015,0.057706382860377804,0.14183825624864987
IRN,Iran,1617661.0020883293,1616601.3779067781,1059.6241815510837,0.9993449652429135,True,687,12,934.0063752360606,125.61780631502305,0,0,0,1059.6241815510837,0.19433317746735332,0.2807161069503255
