weights,family,representation,theta,loglik
land,sem,per_capita,-0.9299999999999999,286.43829853386086
land,sem,per_capita,-0.9199999999999999,286.83974790440436
land,sem,per_capita,-0.91,287.24133515491957
land,sem,per_capita,-0.9,287.64306693781765
land,sem,per_capita,-0.89,288.0449499092402
land,sem,per_capita,-0.88,288.44699072882935
land,sem,per_capita,-0.87,288.84919605945686
land,sem,per_capita,-0.86,289.25157256691125
land,sem,per_capita,-0.85,289.65412691954225
land,sem,per_capita,-0.84,290.05686578785867
land,sem,per_capita,-0.83,290.4597958440805
land,sem,per_capita,-0.82,290.86292376164056
land,sem,per_capita,-0.81,291.26625621463563
land,sem,per_capita,-0.8,291.6697998772246
land,sem,per_capita,-0.79,292.0735614229697
land,sem,per_capita,-0.78,292.47754752412146
land,sem,per_capita,-0.77,292.8817648508422
land,sem,per_capita,-0.76,293.2862200703675
land,sem,per_capita,-0.75,293.69091984610117
land,sem,per_capita,-0.74,294.0958708366432
land,sem,per_capita,-0.73,294.50107969474567
land,sem,per_capita,-0.72,294.9065530661944
land,sem,per_capita,-0.71,295.3122975886151
land,sem,per_capita,-0.7,295.71831989019614
land,sem,per_capita,-0.69,296.1246265883301
land,sem,per_capita,-0.6799999999999999,296.5312242881663
land,sem,per_capita,-0.6699999999999999,296.93811958107284
land,sem,per_capita,-0.6599999999999999,297.3453190430029
land,sem,per_capita,-0.6499999999999999,297.7528292327633
land,sem,per_capita,-0.6399999999999999,298.16065669017866
land,sem,per_capita,-0.63,298.5688079341479
land,sem,per_capita,-0.62,298.97728946059027
land,sem,per_capita,-0.61,299.38610774027126
land,sem,per_capita,-0.6,299.795269216511
land,sem,per_capita,-0.59,300.2047803027605
land,sem,per_capita,-0.58,300.61464738005026
land,sem,per_capita,-0.5700000000000001,301.02487679429703
land,sem,per_capita,-0.56,301.435474853469
land,sem,per_capita,-0.55,301.84644782459895
land,sem,per_capita,-0.54,302.2578019306432
land,sem,per_capita,-0.53,302.66954334717457
land,sem,per_capita,-0.52,303.08167819890724
land,sem,per_capita,-0.51,303.49421255604375
land,sem,per_capita,-0.5,303.90715243043525
land,sem,per_capita,-0.49,304.3205037715515
land,sem,per_capita,-0.48,304.7342724622475
land,sem,per_capita,-0.47,305.14846431432005
land,sem,per_capita,-0.45999999999999996,305.5630850638476
land,sem,per_capita,-0.44999999999999996,305.9781403662983
land,sem,per_capita,-0.43999999999999995,306.3936357914027
land,sem,per_capita,-0.42999999999999994,306.8095768177757
land,sem,per_capita,-0.41999999999999993,307.2259688272808
land,sem,per_capita,-0.41000000000000003,307.6428170991225
land,sem,per_capita,-0.4,308.060126803657
land,sem,per_capita,-0.39,308.4779029959071
land,sem,per_capita,-0.38,308.8961506087716
